"","google_dir","data_file","curator_PersonName","curator_organization","curator_email","modification_date","bibliographical_reference","network","site_code","lat","long","elevation","map","mat","land_cover","eco_region","align_1","loc_comments","time_series","gradient","experiments","merge_align","key_version","L1","L1_level","L2","observation_date","veg_note_profile","lyr_c_tot","lyr_soc","lyr_n_tot","lyr_c_to_n","layer_top","layer_bot","layer_mid","hzn","bd_samp","ph_cacl","ph_h2o","sand","silt","clay","coarse_frac","caco3","Ca","Mg","K","Na","base_sum","ecec","bs","p_ex_1","soil_taxon","soil_series","layer_thick_calc","lyr_soc_stock_calc","lyr_n_stock_calc","control_sample","lyr_soc_stock_calc_sum","socfrac","socfrac_cumsum","bgb","bgb_lowerdiam","bgb_upperdiam","bgb_type","bgb_c","bgb_n","bgb_cn","bgb_c_stock","bgb_c_stock_sum","rootfrac","rootfrac_cumsum"
"11","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","HARV",42.53562,-72.17562,373,1199.61,7.4,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_HARVARD_PIT1","Plot","1_HARVARD_PIT1_A","2012-07-17","Quercus rubra, Acer rubrum, Aralia nudicaulis",9.67,9.6,0.71,13.5211267605634,4,9,6.5,"A",0.4772,3.8,4.6,58.8,29.5,11.7,6.3,0,8518,585,13648,12422,0.6,NA,2,1.54,"Oxyaquic Dystrudepts","Henniker - taxadjunct",5,2290.56,169.406,"TRUE",19510.774,0.12,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","HARV",42.53562,-72.17562,373,1199.61,7.4,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_HARVARD_PIT1","Plot","1_HARVARD_PIT1_AP","2012-07-17","Quercus rubra, Acer rubrum, Aralia nudicaulis",5.96,5.9,0.39,15.1282051282051,9,17,13,"Ap",0.6562,4,4.8,60.1,28.7,11.2,4.5,0,9272,680,13694,12998,0.5,NA,3,1.484,"Oxyaquic Dystrudepts","Henniker - taxadjunct",8,3097.264,204.7344,"TRUE",19510.774,0.16,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","HARV",42.53562,-72.17562,373,1199.61,7.4,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_HARVARD_PIT1","Plot","1_HARVARD_PIT1_BW/E","2012-07-17","Quercus rubra, Acer rubrum, Aralia nudicaulis",3.29,3.3,0.2,16.5,17,32,24.5,"Bw/E",0.775,4.5,4.9,63.9,26.2,9.9,15.5,0,7967,541,13050,12611,0,NA,0,0.883,"Oxyaquic Dystrudepts","Henniker - taxadjunct",15,3836.25,232.5,"TRUE",19510.774,0.2,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","HARV",42.53562,-72.17562,373,1199.61,7.4,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_HARVARD_PIT1","Plot","1_HARVARD_PIT1_BW1","2012-07-17","Quercus rubra, Acer rubrum, Aralia nudicaulis",1.14,1.1,0.11,10,32,53,42.5,"Bw1",1.2805,4.7,5,69.6,23.5,6.9,9.2,NA,8504,612,14261,14785,NA,NA,NA,0.622,"Oxyaquic Dystrudepts","Henniker - taxadjunct",21,2957.955,295.7955,"TRUE",19510.774,0.15,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","HARV",42.53562,-72.17562,373,1199.61,7.4,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_HARVARD_PIT1","Plot","1_HARVARD_PIT1_BW2","2012-07-17","Quercus rubra, Acer rubrum, Aralia nudicaulis",0.279999999999999,0.3,0.04,7.5,53,82,67.5,"Bw2",1.4603,4.9,5.2,87.2,9.7,3.1,11.6,NA,10572,647,13266,16277,NA,NA,NA,0.61,"Oxyaquic Dystrudepts","Henniker - taxadjunct",29,1270.461,169.3948,"TRUE",19510.774,0.07,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","HARV",42.53562,-72.17562,373,1199.61,7.4,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_HARVARD_PIT1","Plot","1_HARVARD_PIT1_2BC","2012-07-17","Quercus rubra, Acer rubrum, Aralia nudicaulis",0.11,0.1,0.06,1.66666666666667,82,96,89,"2BC",1.4581,5,5.3,94.2,4.2,1.6,8.2,NA,10402,653,12763,16282,NA,NA,NA,0.634,"Oxyaquic Dystrudepts","Henniker - taxadjunct",14,204.134,122.4804,"TRUE",19510.774,0.01,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","HARV",42.53562,-72.17562,373,1199.61,7.4,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_HARVARD_PIT1","Plot","1_HARVARD_PIT1_2C","2012-07-17","Quercus rubra, Acer rubrum, Aralia nudicaulis",0.1,0.1,0.01,10,96,113,104.5,"2C",1.7729,5.1,5.3,80.4,16.2,3.4,13.3,NA,10629,631,14980,16203,NA,NA,NA,0.696,"Oxyaquic Dystrudepts","Henniker - taxadjunct",17,301.393,30.1393,"TRUE",19510.774,0.02,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","HARV",42.53562,-72.17562,373,1199.61,7.4,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_HARVARD_PIT1","Plot","1_HARVARD_PIT1_2CD1","2012-07-17","Quercus rubra, Acer rubrum, Aralia nudicaulis",0.16,0.2,0.05,4,113,133,123,"2Cd1",1.521,5,5.3,75.2,20.6,4.2,12.2,NA,10807,680,17336,16230,NA,NA,NA,0.899,"Oxyaquic Dystrudepts","Henniker - taxadjunct",20,608.4,152.1,"TRUE",19510.774,0.03,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","HARV",42.53562,-72.17562,373,1199.61,7.4,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_HARVARD_PIT1","Plot","1_HARVARD_PIT1_2CD2","2012-07-17","Quercus rubra, Acer rubrum, Aralia nudicaulis",0.0699999999999999,0.1,0.02,5,133,160,146.5,"2Cd2",0.9727,5.3,5.5,95.4,2.5,2.1,20.6,NA,9252,1694,17672,16956,NA,NA,NA,0.473,"Oxyaquic Dystrudepts","Henniker - taxadjunct",27,262.629,52.5258,"TRUE",19510.774,0.01,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","RMNP",40.27707,-105.54524,2758,730.59,2.9,"forest","temperate coniferous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","10_CASTNET_PIT1","Plot","10_CASTNET_PIT1_A","2013-05-31","Pinus contorta, Abies lasiocarpa, Juniperus communis",19.15,19.2,0.95,20.2105263157895,0,10,5,"A",0.4669,5.1,6,67.6,20.5,11.9,12.7,NA,7487,455,31448,11698,25.5,NA,80,0.668,"Ustic Haplocryolls","No series matches description",10,8964.48,443.555,"TRUE",30829.093,0.29,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","RMNP",40.27707,-105.54524,2758,730.59,2.9,"forest","temperate coniferous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","10_CASTNET_PIT1","Plot","10_CASTNET_PIT1_AB","2013-05-31","Pinus contorta, Abies lasiocarpa, Juniperus communis",2.9,2.9,0.17,17.0588235294118,10,33,21.5,"AB",1.0953,5.1,6.1,74.4,17.1,8.5,27.2,NA,3951,280,40285,13597,10.4,NA,83,0.493,"Ustic Haplocryolls","No series matches description",23,7305.651,428.2623,"TRUE",30829.093,0.24,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","RMNP",40.27707,-105.54524,2758,730.59,2.9,"forest","temperate coniferous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","10_CASTNET_PIT1","Plot","10_CASTNET_PIT1_C/B","2013-05-31","Pinus contorta, Abies lasiocarpa, Juniperus communis",0.83,0.8,0.06,13.3333333333333,33,84,58.5,"C/B",1.3126,5,6,78.1,15.5,6.4,26.2,NA,3343,171,41622,14278,4.4,4.5,83,0.468,"Ustic Haplocryolls","No series matches description",51,5355.408,401.6556,"TRUE",30829.093,0.17,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","RMNP",40.27707,-105.54524,2758,730.59,2.9,"forest","temperate coniferous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","10_CASTNET_PIT1","Plot","10_CASTNET_PIT1_C/B","2013-05-31","Pinus contorta, Abies lasiocarpa, Juniperus communis",0.83,0.8,0.06,13.3333333333333,33,84,58.5,"C/B",1.1387,5,6,78.1,15.5,6.4,26.2,NA,3343,171,41622,14278,4.4,4.5,83,0.468,"Ustic Haplocryolls","No series matches description",51,4645.896,348.4422,"TRUE",30829.093,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","RMNP",40.27707,-105.54524,2758,730.59,2.9,"forest","temperate coniferous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","10_CASTNET_PIT1","Plot","10_CASTNET_PIT1_C/B","2013-05-31","Pinus contorta, Abies lasiocarpa, Juniperus communis",0.229999999999999,0.2,0.02,10,33,84,58.5,"C/B",1.3126,5,5.9,90.7,6.6,2.7,38,NA,2589,145,43239,13912,1.8,1.9,75,0.361,"Ustic Haplocryolls","No series matches description",51,1338.852,133.8852,"TRUE",30829.093,0.04,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","RMNP",40.27707,-105.54524,2758,730.59,2.9,"forest","temperate coniferous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","10_CASTNET_PIT1","Plot","10_CASTNET_PIT1_C/B","2013-05-31","Pinus contorta, Abies lasiocarpa, Juniperus communis",0.229999999999999,0.2,0.02,10,33,84,58.5,"C/B",1.1387,5,5.9,90.7,6.6,2.7,38,NA,2589,145,43239,13912,1.8,1.9,75,0.361,"Ustic Haplocryolls","No series matches description",51,1161.474,116.1474,"TRUE",30829.093,0.04,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","RMNP",40.27707,-105.54524,2758,730.59,2.9,"forest","temperate coniferous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","10_CASTNET_PIT1","Plot","10_CASTNET_PIT1_C","2013-05-31","Pinus contorta, Abies lasiocarpa, Juniperus communis",0.19,0.2,0.03,6.66666666666667,84,123,103.5,"C",1.7201,4.9,6,84.6,11.3,4.1,25.8,NA,2960,128,40981,14364,2.6,2.8,84,0.404,"Ustic Haplocryolls","No series matches description",39,1341.678,201.2517,"TRUE",30829.093,0.04,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","RMNP",40.27707,-105.54524,2758,730.59,2.9,"forest","temperate coniferous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","10_CASTNET_PIT1","Plot","10_CASTNET_PIT1_CR","2013-05-31","Pinus contorta, Abies lasiocarpa, Juniperus communis",0.12,0.1,0.02,5,123,160,141.5,"Cr",1.9342,6.4,6.4,72.3,21.5,6.2,25.1,NA,3137,279,42874,18930,2.7,NA,100,0.527,"Ustic Haplocryolls","No series matches description",37,715.654,143.1308,"TRUE",30829.093,0.02,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","CPER",40.81297,-104.74455,1548,344.24,8.6,"rangeland/grassland","grassland","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","10_CPER_PIT1","Plot","10_CPER_PIT1_A","2012-08-13","Bouteloua gracilis, Thelesperma filifolium, Hesperostipa comata",0.84,0.8,0.1,8,0,10,5,"A",1.5363,7.3,7.8,71.5,16.6,11.9,0.8,0,5279,430,22165,6223,13.7,NA,100,0.458,"Aridic Argiustolls","Ascalon",10,1229.04,153.63,"TRUE",9024.988,0.14,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","CPER",40.81297,-104.74455,1548,344.24,8.6,"rangeland/grassland","grassland","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","10_CPER_PIT1","Plot","10_CPER_PIT1_BA","2012-08-13","Bouteloua gracilis, Thelesperma filifolium, Hesperostipa comata",0.63,0.6,0.0699999999999999,8.57142857142858,10,30,20,"BA",1.5473,6.1,6.9,73.8,14.3,11.9,1.8,0,3708,496,21086,5819,8.9,NA,100,0.423,"Aridic Argiustolls","Ascalon",20,1856.76,216.622,"TRUE",9024.988,0.21,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
