siteID,Ecosystem.type,Ecoregion,Land.cover,Dominant.plants
MOAB,Grassland,desert or xeric shrubland,rangeland/grassland,"Ephedra viridis, Bouteloua gracilis, Krascheninnikovia lanata"
SRER,Shrubland,desert or xeric shrubland,shrubland,"Larrea tridentata, Prosopis velutina, Zinnia acerosa"
JORN,Grassland,desert or xeric shrubland,rangeland/grassland,"Yucca elata, Bouteloua eriopoda, Prosopis glandulosa"
ONAQ,Shrubland,desert or xeric shrubland,shrubland,"Artemisia tridentata ssp. tridentata, Ceratocephala testiculata, Bromus tectorum"
WREF,Temperate coniferous forest,temperate coniferous forest,forest,"Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon"
ABBY,Temperate coniferous forest,temperate coniferous forest,forest,"Gaultheria shallon, Pseudotsuga menziesii, Corylus cornuta"
SOAP,Temperate coniferous forest,temperate coniferous forest,forest,"Arctostaphylos viscida, Calocedrus decurrens, Quercus kelloggii"
TEAK,Temperate coniferous forest,temperate coniferous forest,forest,"Abies magnifica, Abies concolor, Dodecatheon jeffreyi"
SJER,Savanna,"temperate grassland, savanna and shrubland",rangeland/grassland,"Quercus douglasii, Erodium botrys, Bromus diandrus"
TOOL,Tundra,tundra,rangeland/grassland,"Eriophorum vaginatum, Vaccinium vitis-idaea, Betula glandulosa"
BARR,Tundra,tundra,rangeland/grassland,"Carex aquatilis, Dupontia fisheri, Petasites frigidus"
BONA,Boreal coniferous forest,boreal forest/taiga,forest,"Picea mariana, Populus tremuloides, Vaccinium vitis-idaea"
DEJU,Boreal coniferous forest,boreal forest/taiga,forest,"Picea mariana, Vaccinium vitis-idaea, Betula glandulosa/nana"
HEAL,Tundra,tundra,rangeland/grassland,"Bouteloua gracilis, Aristida purpurea, Calylophus hartwegii"
PUUM,Tropical evergreen forest,tropical or subtropical moist broadleaf forest,forest,"Metrosideros polymorpha, Acacia koa, Styphelia tameiameiae"
