addit_contact_email,addit_contact_person,author_email,author_orcid_id,author_PersonName,bd_samp,bibliographical_reference,clim_avg_yrs,curator_email,curator_organization,curator_PersonName,eco_region,elevation,google_id,header_row,land_cover,lat,layer,location_name,long,map,mat,modification_date,NA_1,NA_2,network,ph_h2o,plant,site_code,texture_class,tx_start,tx_L1,observation_date,layer_top,layer_bot,oc,n_tot,c_to_n
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,CTL,2007,0,10,11.202,0.401,27.933
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NI,2007,0,10,16.197,0.49,33.081
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NL,2007,0,10,12.927,0.462,27.964
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NR,2007,0,10,13.887,0.469,29.603
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DL,2007,0,10,4.015,0.262,15.307
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DW,2007,0,10,3.779,0.233,16.244
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,CTL,2007,0,10,3.454,0.231,14.932
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NI,2007,0,10,3.739,0.249,15.029
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NL,2007,0,10,3.871,0.261,14.837
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NR,2007,0,10,4.026,0.259,15.565
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DL,2007,0,10,1.672,0.131,12.727
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DW,2007,0,10,1.408,0.097,14.575
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,CTL,2007,0,10,1.406,0.111,12.691
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NI,2007,0,10,1.636,0.131,12.454
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NL,2007,0,10,1.584,0.124,12.762
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NR,2007,0,10,1.76,0.134,13.136
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DL,2007,0,10,0.406,0.033,12.408
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DW,2007,0,10,0.293,0.018,16.309
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,CTL,2007,0,10,0.398,0.029,13.525
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NI,2007,0,10,0.358,0.021,17.201
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NL,2007,0,10,0.347,0.027,12.841
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NR,2007,0,10,0.397,0.031,12.963
