lat,long,lat.clean,long.clean,Notes
40.27707,-105.54524,40.27707,-105.54524,
39.993,-105.375,39.993,-105.375,
39.972022,-105.233544,39.972022,-105.233544,
40.81667,-104.76667,40.81667,-104.76667,
40.817292,-104.750288,40.817292,-104.750288,
40.814769,-104.748078,40.814769,-104.748078,
40.817297,-104.747096,40.817297,-104.747096,
40.818371,-104.746715,40.818371,-104.746715,
40.81297,-104.74455,40.81297,-104.74455,
40.810934,-104.729248,40.810934,-104.729248,
40.853093,-104.728006,40.853093,-104.728006,
40.818451,-104.707164,40.818451,-104.707164,
40.850866,-104.699535,40.850866,-104.699535,
40.81275,-104.696873,40.81275,-104.696873,
40.861915,-104.683832,40.861915,-104.683832,
40.463935,-103.035332,40.463935,-103.035332,
40.461168,-103.031538,40.461168,-103.031538,
40.461156,-103.030826,40.461156,-103.030826,
40.463856,-103.030754,40.463856,-103.030754,
40.460611,-103.030496,40.460611,-103.030496,
40.45984,-103.03008,40.45984,-103.03008,
40.460053,-103.029801,40.460053,-103.029801,
40.472029,-103.025102,40.472029,-103.025102,
40.474713,-103.0243,40.474713,-103.0243,
40.478666,-103.019238,40.478666,-103.019238,
40.480827,-103.018821,40.480827,-103.018821,
40.473273,-103.018333,40.473273,-103.018333,
40.469719,-103.016662,40.469719,-103.016662,
40.47639,-103.011866,40.47639,-103.011866,
40.468561,-103.011749,40.468561,-103.011749,
40.470725,-103.011685,40.470725,-103.011685,
41.2,-101.63,41.2,-101.63,
46.76846,-100.91832,46.76846,-100.91832,
42.244586,-99.6518,42.244586,-99.6518,
47.146348,-99.263444,47.146348,-99.263444,
47.151171,-99.262648,47.151171,-99.262648,
47.128258,-99.257768,47.128258,-99.257768,
47.12584,-99.253801,47.12584,-99.253801,
47.149339,-99.251928,47.149339,-99.251928,
47.129092,-99.245921,47.129092,-99.245921,
47.12829,-99.243528,47.12829,-99.243528,
47.131002,-99.242763,47.131002,-99.242763,
47.118581,-99.239944,47.118581,-99.239944,
47.12833,-99.23907,47.12833,-99.23907,
47.136134,-99.232896,47.136134,-99.232896,
47.15919,-99.11251,47.15919,-99.11251,
39.05,-99.1,39.05,-99.1,
35.41213,-99.085338,35.41213,-99.085338,
35.412139,-99.069792,35.412139,-99.069792,
35.41062,-99.06044,35.41062,-99.06044,
35.412699,-99.058259,35.412699,-99.058259,
35.419991,-99.057264,35.419991,-99.057264,
35.419716,-99.052304,35.419716,-99.052304,
35.420795,-99.050317,35.420795,-99.050317,
31.044,-97.349,31.044,-97.349,
40.6954,-96.8541,40.6954,-96.8541,
39.10828,-96.61044,39.10828,-96.61044,
39.070856,-96.582821,39.070856,-96.582821,
39.080936,-96.564825,39.080936,-96.564825,
39.1007,-96.56227,39.1007,-96.56227,
41.339206,-96.13964,41.339206,-96.13964,
39.04168,-95.20495,39.04168,-95.20495,
43.3791307,-95.1863858,43.3791307,-95.1863858,
41.78506667,-93.38538333,41.78506667,-93.38538333,
45.425,-93.2115,45.425,-93.2115,
38.519092,-90.564792,38.519092,-90.564792,
45.812246,-90.092743,45.812246,-90.092743,
45.797373,-90.092311,45.797373,-90.092311,
45.834307,-90.085088,45.834307,-90.085088,
45.824937,-90.072611,45.824937,-90.072611,
45.797893,-90.064147,45.797893,-90.064147,
45.802507,-90.06211,45.802507,-90.06211,
45.493548,-89.592161,45.493548,-89.592161,
45.493863,-89.591027,45.493863,-89.591027,
45.490088,-89.590099,45.490088,-89.590099,
45.506171,-89.588579,45.506171,-89.588579,
45.508883,-89.588327,45.508883,-89.588327,
45.494189,-89.587993,45.494189,-89.587993,
45.505662,-89.587395,45.505662,-89.587395,
45.506757,-89.58706,45.506757,-89.58706,
45.490246,-89.577677,45.490246,-89.577677,
45.487728,-89.569877,45.487728,-89.569877,
45.486647,-89.569448,45.486647,-89.569448,
45.492352,-89.567786,45.492352,-89.567786,
46.234625,-89.560771,46.234625,-89.560771,
45.491628,-89.551229,45.491628,-89.551229,
46.258243,-89.543562,46.258243,-89.543562,
46.234247,-89.542459,46.234247,-89.542459,
46.231276,-89.541941,46.231276,-89.541941,
46.242971,-89.538204,46.242971,-89.538204,
46.227897,-89.53713,46.227897,-89.53713,
46.248703,-89.536134,46.248703,-89.536134,
46.231744,-89.53264,46.231744,-89.53264,
46.248534,-89.520942,46.248534,-89.520942,
46.256193,-89.515052,46.256193,-89.515052,
46.22596,-89.513299,46.22596,-89.513299,
46.254613,-89.512657,46.254613,-89.512657,
46.218529,-89.507901,46.218529,-89.507901,
46.23796,-89.496339,46.23796,-89.496339,
46.210824,-89.49004,46.210824,-89.49004,
46.14103,-89.3221,46.14103,-89.3221,
40.075,-88.829,40.075,-88.829,
31.8531,-88.16103,31.8531,-88.16103,
32.532488,-87.818528,32.532488,-87.818528,
32.529787,-87.818196,32.529787,-87.818196,
32.534935,-87.81503,32.534935,-87.81503,
32.523344,-87.814623,32.523344,-87.814623,
32.531985,-87.814345,32.531985,-87.814345,
32.540703,-87.807742,32.540703,-87.807742,
32.542291,-87.806805,32.542291,-87.806805,
32.532061,-87.805436,32.532061,-87.805436,
32.53881,-87.804512,32.53881,-87.804512,
32.54092,-87.80341,32.54092,-87.80341,
32.539626,-87.801969,32.539626,-87.801969,
32.898843,-87.446128,32.898843,-87.446128,
32.977667,-87.432716,32.977667,-87.432716,
32.957884,-87.432613,32.957884,-87.432613,
32.922158,-87.428893,32.922158,-87.428893,
32.974429,-87.42694,32.974429,-87.42694,
32.89353,-87.415341,32.89353,-87.415341,
32.899796,-87.406679,32.899796,-87.406679,
32.951506,-87.398919,32.951506,-87.398919,
32.952869,-87.397604,32.952869,-87.397604,
32.950148,-87.397284,32.950148,-87.397284,
32.948793,-87.397268,32.948793,-87.397268,
32.95106,-87.3941,32.95106,-87.3941,
36.871944,-86.70167,36.871944,-86.70167,
42.408986,-85.3909,42.408986,-85.3909,
38.135833,-84.500556,38.135833,-84.500556,
31.194318,-84.477078,31.194318,-84.477078,
31.19615,-84.473242,31.19615,-84.473242,
31.198437,-84.467181,31.198437,-84.467181,
31.19608,-84.46647,31.19608,-84.46647,
31.196492,-84.464109,31.196492,-84.464109,
31.196457,-84.461913,31.196457,-84.461913,
31.194506,-84.460063,31.194506,-84.460063,
31.187672,-84.455851,31.187672,-84.455851,
31.195967,-84.451227,31.195967,-84.451227,
31.195153,-84.450927,31.195153,-84.450927,
35.963923,-84.287231,35.963923,-84.287231,
35.965253,-84.286857,35.965253,-84.286857,
35.964422,-84.285887,35.964422,-84.285887,
35.965431,-84.284193,35.965431,-84.284193,
35.963215,-84.281617,35.963215,-84.281617,
35.964793,-84.278889,35.964793,-84.278889,
35.93025,-84.27011,35.93025,-84.27011,
35.916311,-84.26328,35.916311,-84.26328,
35.957646,-84.261838,35.957646,-84.261838,
35.965869,-84.23064,35.965869,-84.23064,
35.948607,-84.221913,35.948607,-84.221913,
35.955641,-84.221347,35.955641,-84.221347,
35.982205,-84.212754,35.982205,-84.212754,
35.57525,-84.16581,35.57525,-84.16581,
35.678899,-83.645322,35.678899,-83.645322,
35.67043,-83.587373,35.67043,-83.587373,
35.684584,-83.532113,35.684584,-83.532113,
35.68687,-83.513991,35.68687,-83.513991,
35.688413,-83.507293,35.688413,-83.507293,
35.687618,-83.506289,35.687618,-83.506289,
35.684969,-83.503885,35.684969,-83.503885,
35.68839,-83.50185,35.68839,-83.50185,
35.593015,-83.474662,35.593015,-83.474662,
35.676611,-83.474556,35.676611,-83.474556,
29.696569,-82.025578,29.696569,-82.025578,
29.702914,-82.008881,29.702914,-82.008881,
29.691867,-81.996384,29.691867,-81.996384,
29.68819,-81.99345,29.68819,-81.99345,
29.691969,-81.992063,29.691969,-81.992063,
29.693584,-81.992057,29.693584,-81.992057,
29.689482,-81.960693,29.689482,-81.960693,
29.684073,-81.959108,29.684073,-81.959108,
29.70386,-81.956817,29.70386,-81.956817,
29.694992,-81.94742,29.694992,-81.94742,
27.433333,-81.916667,27.433333,-81.916667,
33.343894,-81.650936,33.343894,-81.650936,
28.1232,-81.43487,28.1232,-81.43487,
28.12919,-81.43394,28.12919,-81.43394,
28.125082,-81.432746,28.125082,-81.432746,
28.073118,-81.428559,28.073118,-81.428559,
28.074209,-81.425532,28.074209,-81.425532,
28.0967,-81.418579,28.0967,-81.418579,
28.048244,-81.416879,28.048244,-81.416879,
28.099732,-81.399974,28.099732,-81.399974,
28.043948,-81.393638,28.043948,-81.393638,
28.039641,-81.393323,28.039641,-81.393323,
43.193131,-81.317807,43.193131,-81.317807,
27.15,-81.18333333,27.15,-81.18333333,
37.37783,-80.52425,37.37783,-80.52425,
44.024047,-79.535881,44.024047,-79.535881,
-4.11,-79.16,-4.11,-79.16,
36.00828,-79.020423,36.00828,-79.020423,
-0.0769969,-78.9985045,-0.0769969,-78.9985045,
38.889095,-78.168896,38.889095,-78.168896,
-0.467083333,-78.162,-0.467083333,-78.162,
38.900539,-78.161859,38.900539,-78.161859,
38.888917,-78.161302,38.888917,-78.161302,
38.897609,-78.152007,38.897609,-78.152007,
38.887763,-78.147164,38.887763,-78.147164,
38.896935,-78.146456,38.896935,-78.146456,
38.895212,-78.142701,38.895212,-78.142701,
38.893837,-78.140766,38.893837,-78.140766,
38.894615,-78.13964,38.894615,-78.13964,
38.890566,-78.139431,38.890566,-78.139431,
38.89209,-78.13764,38.89209,-78.13764,
38.894261,-78.1372,38.894261,-78.1372,
38.893934,-78.135517,38.893934,-78.135517,
38.883305,-78.120382,38.883305,-78.120382,
39.058572,-78.073304,39.058572,-78.073304,
39.061567,-78.073175,39.061567,-78.073175,
39.06044,-78.07115,39.06044,-78.07115,
39.058808,-78.070547,39.058808,-78.070547,
39.058229,-78.069151,39.058229,-78.069151,
39.092296,-77.980761,39.092296,-77.980761,
39.087455,-77.971943,39.087455,-77.971943,
39.085481,-77.969266,39.085481,-77.969266,
39.078872,-77.963659,39.078872,-77.963659,
39.087516,-77.962567,39.087516,-77.962567,
39.087923,-77.958384,39.087923,-77.958384,
38.886501,-76.561507,38.886501,-76.561507,
38.885634,-76.5602,38.885634,-76.5602,
38.895032,-76.558913,38.895032,-76.558913,
38.89124,-76.55884,38.89124,-76.55884,
38.880974,-76.55872,38.880974,-76.55872,
38.872417,-76.554054,38.872417,-76.554054,
38.890806,-76.553978,38.890806,-76.553978,
38.893251,-76.547607,38.893251,-76.547607,
38.899874,-76.543769,38.899874,-76.543769,
38.873795,-76.539829,38.873795,-76.539829,
38.86869,-76.533595,38.86869,-76.533595,
42.478578,-72.259572,42.478578,-72.259572,
42.424254,-72.258286,42.424254,-72.258286,
42.39229,-72.25461,42.39229,-72.25461,
42.424733,-72.2546,42.424733,-72.2546,
42.45244,-72.2505,42.45244,-72.2505,
42.458487,-72.231987,42.458487,-72.231987,
42.427091,-72.229737,42.427091,-72.229737,
42.539971,-72.178087,42.539971,-72.178087,
42.535693,-72.177962,42.535693,-72.177962,
42.53562,-72.17562,42.53562,-72.17562,
42.53831,-72.175606,42.53831,-72.175606,
43.41927,-72.13806,43.41927,-72.13806,
43.956,-71.73,43.956,-71.73,
44.0605,-71.3109,44.0605,-71.3109,
44.047077,-71.306658,44.047077,-71.306658,
44.0541,-71.3065,44.0541,-71.3065,
44.065761,-71.291993,44.065761,-71.291993,
44.067946,-71.29062,44.067946,-71.29062,
44.06516,-71.28834,44.06516,-71.28834,
44.060186,-71.288047,44.060186,-71.288047,
44.0675,-71.2876,44.0675,-71.2876,
44.041571,-71.28692,44.041571,-71.28692,
44.06208,-71.285876,44.06208,-71.285876,
44.0643,-71.2856,44.0643,-71.2856,
44.0632,-71.2837,44.0632,-71.2837,
44.05462,-71.282199,44.05462,-71.282199,
44.035081,-71.27285,44.035081,-71.27285,
44.052777,-71.263782,44.052777,-71.263782,
44.049319,-71.263643,44.049319,-71.263643,
44.055252,-71.263154,44.055252,-71.263154,
-41.00644,-71.15323,-41.00644,-71.15323,
-51.91602778,-70.40744444,-51.91602778,-70.40744444,
18.02184,-67.07608,18.02184,-67.07608,
17.963818,-66.875668,17.963818,-66.875668,
17.96882,-66.86888,17.96882,-66.86888,
17.968869,-66.867682,17.968869,-66.867682,
17.967743,-66.8643,17.967743,-66.8643,
17.96911,-66.864276,17.96911,-66.864276,
17.970725,-66.86397,17.970725,-66.86397,
17.973133,-66.861701,17.973133,-66.861701,
17.972832,-66.857711,17.972832,-66.857711,
17.969254,-66.85267,17.969254,-66.85267,
17.97277,-66.851235,17.97277,-66.851235,
17.970294,-66.824633,17.970294,-66.824633,
-42.653747,-64.171606,-42.653747,-64.171606,
-36.275556,-58.265556,-36.275556,-58.265556,
-37.71516,-57.42451,-37.71516,-57.42451,
53.072023,-8.992624,53.072023,-8.992624,
38,-8,38,-8,
53.98562471,-2.628417566,53.98562471,-2.628417566,
51.406,-0.644,51.406,-0.644,
51.411,-0.639,51.411,-0.639,
48.28,2.66,48.28,2.66,
53.086,7.4728,53.086,7.4728,
47.113187,8.541821,47.113187,8.541821,
46.631345,10.372252,46.631345,10.372252,
43.7971,10.7185,43.7971,10.7185,
50.93333333,11.53333333,50.93333333,11.53333333,
49.91666667,11.58333333,49.91666667,11.58333333,
51.392138,11.877969,51.392138,11.877969,
78.7,16.4,78.7,16.4,
68.319867,18.740062,68.319867,18.740062,
47°55′N,20°26′E,47.916,20.433,Manual fix
69.05,20.833333,69.05,20.833333,
69.036,20.842,69.036,20.842,
58.71,23.795,58.71,23.795,
58.2582861,26.35386,58.2582861,26.35386,
-29.28424,30.29174,-29.28424,30.29174,
-29.67,30.4,-29.67,30.4,
-29.81161,30.71573,-29.81161,30.71573,
-2.254503,34.512613,-2.254503,34.512613,
32.31972667,78.00954,32.31972667,78.00954,
41°36' N,80°2' W,41.6,80.03333333,
45°33.6′ N,84°42.6′ W,45.56,84.71,Manual fix
45.4N,93.2W,45.4,93.2,
33.67,101.87,33.67,101.87,
-32.496169,116.972947,-32.496169,116.972947,
-31.782138,117.610853,-31.782138,117.610853,
37.012 N,119.117 W,37.012,119.117,
46.919,121.538,46.919,121.538,
46.827,121.546,46.827,121.546,
46.823,121.551,46.823,121.551,
43.709,121.603,43.709,121.603,
43.707,121.609,43.707,121.609,
43.706,121.613,43.706,121.613,
44.488,121.631,44.488,121.631,
46.768,121.742,46.768,121.742,
46.777,121.783,46.777,121.783,
46.748,121.803,46.748,121.803,
46.96,121.843,46.96,121.843,
46.995,121.88,46.995,121.88,
46.741,121.887,46.741,121.887,
45.828,121.969,45.828,121.969,
44.227,122.122,44.227,122.122,
44.227,122.123,44.227,122.123,
44.274,122.14,44.274,122.14,
44.231,122.146,44.231,122.146,
44.213,122.148,44.213,122.148,
44.26,122.159,44.26,122.159,
44.254,122.175,44.254,122.175,
44.262,122.181,44.262,122.181,
44.213,122.217,44.213,122.217,
44.212,122.236,44.212,122.236,
44.214,122.241,44.214,122.241,
44.217,122.243,44.217,122.243,
44.222,122.249,44.222,122.249,
44.202,122.257,44.202,122.257,
47.43,123.873,47.43,123.873,
47.429,123.873,47.429,123.873,
45.046,123.897,45.046,123.897,
45.049,123.898,45.049,123.898,
45.044,123.901,45.044,123.901,
47.779,123.908,47.779,123.908,
45.063,123.939,45.063,123.939,
45.065,123.941,45.065,123.941,
45.065,123.942,45.065,123.942,
45.065,123.944,45.065,123.944,
47.834,123.99,47.834,123.99,
45.062,123.99,45.062,123.99,
"35° 3'35.01""N","83°25'50.00""W",40.5835,125.5,
-16.10846,130.9531,-16.10846,130.9531,
-23.63861,138.39897,-23.63861,138.39897,
-23.7563333,138.4742833,-23.7563333,138.4742833,
-22.483584,143.323501,-22.483584,143.323501,
-36.2,143.75,-36.2,143.75,
-37.80694444,144.7913889,-37.80694444,144.7913889,
-36.874,147.254,-36.874,147.254,
68° 38'N,149° 43'W,68.63333333,149.7166667,
-33.61,150.73,-33.61,150.73,
-27.734896,151.139517,-27.734896,151.139517,
-26.892138,151.606667,-26.892138,151.606667,
-27.530556,152.923222,-27.530556,152.923222,
40 02.40,105 35.00,NA,NA,NWT-Green lakes valley
183,658,NA,NA,LUQ-Bisley Experimental Watersheds
147815.4127,586786.8822,NA,NA,Shale Hills
147806.8024,586835.8015,NA,NA,Shale Hills
147784.5887,586781.198,NA,NA,Shale Hills
147765.3886,586842.2178,NA,NA,Shale Hills
147751.019,586777.4449,NA,NA,Shale Hills
147735.4487,586869.1186,NA,NA,Shale Hills
