attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum
lyr_soc,NA,dimensionless,real,NA,"Bulk Layer Organic Carbon (CN analyzer) concentration, inorganic C removed or not present",numeric,0,69.19
lyr_soc_stock,NA,dimensionless,real,NA,Bulk Layer Organic Carbon (CN analyzer) stock,numeric,0,47230
lyr_loi,NA,dimensionless,real,NA,Bulk Layer Loss on Ignition,numeric,0,97.19
lyr_som_WalkleyBlack,NA,dimensionless,real,NA,Bulk Layer OM (Walkley Balck),numeric,0.17,56.73
lyr_n_tot,NA,dimensionless,real,NA,Bulk Layer Total Nitrogen concentration,numeric,0,3.62
lyr_n_tot_stock,NA,dimensionless,real,NA,Bulk Layer Total Nitrogen stock,numeric,0,2405
lyr_c_to_n,NA,dimensionless,real,NA,Bulk Layer C:N,numeric,0,304.2
lyr_15n,NA,permil,real,NA,Bulk Layer δ15N,numeric,-28,10.5
lyr_13c,NA,permil,real,NA,Bulk Layer δ13C,numeric,-32.36,6.9
layer_top,NA,centimeter,real,NA,Layer Top,numeric,-2,284
layer_bot,NA,centimeter,real,NA,Layer Bottom,numeric,-1,300
layer_mid,NA,centimeter,real,NA,Layer middle,numeric,-1.5,450
hzn,NA,NA,NA,Horizon,Horizon,character,NA,NA
bd_samp,NA,gramsPerCubicCentimeter,real,NA,"Bulk Density, Coarse Fragments Removed",numeric,0.002836,5.00633
bd_tot,NA,gramsPerCubicCentimeter,real,NA,Bulk Density With Coarse Fragments,numeric,0.21132,2.9
ph_cacl,NA,dimensionless,real,NA,Soil pH CaCl2,numeric,2.49,9.7
ph_h2o,NA,dimensionless,real,NA,Soil pH in water,numeric,2.95,10.2
ph_other,NA,dimensionless,real,NA,Soil pH Other,numeric,3.01,9.54
sand,NA,dimensionless,real,NA,Sand,numeric,0,98.9
silt,NA,dimensionless,real,NA,Silt,numeric,-7.7,84
clay,NA,dimensionless,real,NA,Clay,numeric,0,84.7
coarse_frac,NA,dimensionless,real,NA,Coarse Fraction,numeric,0,88.24
coarse_tot,NA,millimeter,natural,NA,Coarse Fraction Size Threshold Used,numeric,20,20
profile_texture_class,NA,NA,NA,Texture Class,Texture Class,character,NA,NA
caco3,NA,dimensionless,real,NA,Calcium Carbonate,numeric,0,104
Ca,NA,millimolePerKilogram,real,NA,Calcium,numeric,0,247733
Mg,NA,millimolePerKilogram,real,NA,Magnesium,numeric,0,3219
K,NA,millimolePerKilogram,real,NA,Posassium,numeric,0,43239
Na,NA,millimolePerKilogram,real,NA,Sodium,numeric,0,33215
cat_exch,NA,centimoleH+PerKilogram,real,NA,Cation Exchange,numeric,6.688131,51.4
base_sum,NA,milliequivalentPer100Gram,real,NA,Sum of Bases,numeric,0,249.7
cec_sum,NA,milliequivalentPer100Gram,real,NA,Sum of Cation Exchange Capacity,numeric,0.78,18.58
ecec,NA,milliequivalentPer100Gram,real,NA,Effective Cation Exchange Capacity,numeric,0.2,105.2
bs,NA,dimensionless,real,NA,% Base Saturation,numeric,0,106.455696
mbc_trans,NA,milligramPerGram,real,NA,"Microbial biomass C, reported Value After Transformation",numeric,0.039852,1.30348
mbn_raw,NA,milligramPerGram,real,NA,"Microbial biomass N, raw value",numeric,0.000488,0.174977
p_ex_1,NA,milligramPerGram,real,NA,Extractable Phosphorus_1,numeric,0,99
p_ex_2,NA,milligramPerGram,real,NA,Extractable Phosphorus_2,numeric,0,1.3589
p_ex_3,NA,milligramPerGram,whole,NA,Extractable Phosphorus_3,numeric,0,0
p_ex_4,NA,milligramPerGram,real,NA,Extractable Phosphorus_4,numeric,0,0.6231
n_min,NA,milligramPerGramPerDay,real,NA,Net N mineralization,numeric,-46.59952,212.4897
soil_taxon,NA,NA,NA,Soil Taxonomy,Soil Taxonomy,character,NA,NA
soil_series,NA,NA,NA,Soil Series,Soil Series,character,NA,NA
comment_profile,NA,NA,NA,comments,comments,character,NA,NA
lyr_al_py,NA,milligramPerGram,real,NA,Pyrophosphate Extractable Al,numeric,0.65,1.74
lyr_si_py,NA,milligramPerGram,real,NA,Pyrophosphate Extractable Si,numeric,0.36,0.97
lyr_fe_ox,NA,milligramPerGram,real,NA,Oxalate Extractable Fe,numeric,0,146.3
lyr_al_ox,NA,milligramPerGram,real,NA,Oxalate Extractable Al,numeric,0,55.5
lyr_si_ox,NA,milligramPerGram,real,NA,Oxalate Extractable Si,numeric,0,20.1
lyr_fe_dith,NA,milligramPerGram,real,NA,Dithionite Extractable Fe,numeric,0,165
lyr_al_dith,NA,milligramPerGram,whole,NA,Dithionite Extractable Al,numeric,0,31
lyr_si_dith,NA,milligramPerGram,real,NA,Dithionite Extractable Si,numeric,0,7
frc_scheme,NA,NA,NA,NA,Fractionation Scheme,factor,NA,NA
frc_low_cutoff,NA,NA,NA,"Lower Cutoff Numerical (e.g., density, diameter, days, etc.)","Lower Cutoff Numerical (e.g., density, diameter, days, etc.)",character,NA,NA
frc_high_cutoff,NA,NA,NA,"Upper Cutoff Numerical (e.g., density, diameter, days, etc.)","Upper Cutoff Numerical (e.g., density, diameter, days, etc.)",character,NA,NA
frc_notes,NA,NA,NA,Fraction Notes,Fraction Notes,character,NA,NA
frc_c_tot,NA,dimensionless,real,NA,Fraction Total Carbon,numeric,65.51,1311.49
frc_oc,NA,dimensionless,real,NA,Fraction Organic Carbon,numeric,0.293,91.365
frc_n_tot,NA,dimensionless,real,NA,Fraction Total Nitrogen,numeric,0.018,3.512
frc_c_to_n,NA,dimensionless,real,NA,Fraction C:N,numeric,12.408,55.281
bd_methods_notes,NA,NA,NA,Bulk Density Method or Other Notes,Bulk Density Method or Other Notes,character,NA,NA
layer_thick_calc,NA,centimeter,real,NA,calculated soil layer thickness,numeric,-40,162
lyr_soc_stock_calc,NA,dimensionless,real,NA,calculated soil layer standing stock of soil organic carbon,numeric,0,47230
lyr_n_stock_calc,NA,dimensionless,real,NA,calculated soil layer standing stock of soil nitrogen,numeric,0,2405
control_sample,NA,NA,NA,NA,"indicating if a sample is considered a control sample (i.e., not manipulated by experiment or treatment)",factor,NA,NA
